stem,gan_edge_iou,gan_chamfer,gan_sketch_lpips,gan_psnr,gan_ssim,gan_lpips,gan_bnd_lpips,gan_face_lpips,gan_arcface_cos,dit_edge_iou,dit_chamfer,dit_sketch_lpips,dit_psnr,dit_ssim,dit_lpips,dit_bnd_lpips,dit_face_lpips,dit_arcface_cos
braid_4031,0.09627580336241753,2.38070568108703,0.8893831372261047,10.278630335882124,0.414189263267885,0.42404454946517944,0.021772313863039017,0.0025882937479764223,0.8599991202354431,0.09705660975319891,2.343979649693535,0.9823969602584839,11.819818241840744,0.41162655389981867,0.44145628809928894,0.02565113827586174,0.0,0.8500404953956604
braid_4035,0.08694377961217213,2.884383819695251,0.8550105094909668,11.497111439494738,0.4987396476103469,0.3716689944267273,0.01513812504708767,0.0017341480124741793,0.6523495316505432,0.09262688126097897,2.892682732266618,0.8751084804534912,11.755636316791406,0.4875560723447186,0.38494956493377686,0.020716270431876183,0.0,0.6464381217956543
braid_4040,0.0903177527055031,3.131724519443966,0.5575924515724182,11.770277648778277,0.7145705707698133,0.21180160343647003,0.02418750897049904,0.0016488746041432023,0.8174928426742554,0.09881017092468443,2.886713554279336,0.5478540658950806,12.447273358334009,0.7170992525895742,0.2323116958141327,0.02932952344417572,0.0,0.812436580657959
braid_4042,0.07606184467744802,3.63818242538739,0.7745398283004761,10.356092597785135,0.5659001350774203,0.277128666639328,0.02305000275373459,0.005437497515231371,0.8812956809997559,0.0683811067717928,3.8727534449484673,0.8997730016708374,10.080184793789723,0.5477073326199042,0.2822355031967163,0.027029970660805702,0.0,0.8815020322799683
braid_4045,0.09456157299539694,2.264288283246076,0.8513667583465576,10.911881922381216,0.5522683652688744,0.3216853439807892,0.02212139591574669,0.0020358888432383537,0.7313159704208374,0.10191119916093695,2.243879858868315,0.8449076414108276,12.494795805166888,0.5831849380460303,0.3020247519016266,0.01842401921749115,0.0,0.7372162342071533
braid_4052,0.09146096504932374,2.8277232630449545,0.9272348880767822,10.788111114921907,0.4990794041825157,0.43298012018203735,0.018910376355051994,0.0031060471665114164,0.6573944091796875,0.09233839563862928,2.8802945507503543,0.8654504418373108,11.942235336340264,0.5257047369879536,0.41505753993988037,0.02416686899960041,0.0,0.717079758644104
braid_4059,0.08933889219773675,2.8353312100173955,0.5912302136421204,10.879006610052013,0.6685119470324606,0.24973829090595245,0.033846013247966766,0.002493304666131735,0.7969539761543274,0.09114475932363166,2.765240691609737,0.6095879077911377,12.1808760400655,0.6757463812323715,0.2346421480178833,0.03250369802117348,0.0,0.837836503982544
braid_4090,0.09024164231235299,2.742376993715279,0.7617407441139221,11.337782601723385,0.6011392566539856,0.3375186026096344,0.01908220164477825,0.003436742117628455,0.7295287847518921,0.08413161182840483,2.9986471987079217,0.7430620789527893,12.340357459380684,0.6165133522893546,0.32227495312690735,0.019864752888679504,0.0,0.7766467332839966
braid_4097,0.0912336675782437,3.1964479194916473,0.7625964879989624,11.07262452942811,0.5466277046293817,0.29816940426826477,0.014825456775724888,0.005384394899010658,0.8549485206604004,0.07732284570545685,4.403581236466072,0.8186624646186829,11.287121415973253,0.534799404361969,0.29073047637939453,0.021276511251926422,0.0,0.7494776248931885
braid_4105,0.08704867156157747,2.7093947333260835,0.6204084157943726,12.451511398511446,0.6732407712429934,0.274722695350647,0.015549779869616032,0.002629978582262993,0.7059503793716431,0.07876736478386574,2.7220144614518382,0.6695996522903442,14.235411875423106,0.6763960334564562,0.284384161233902,0.013287149369716644,0.0,0.7064592242240906
